"ID","info","inCore","count","MK-ID"
"Hargreaves Ja, 1996, J WORLD AQUACULT SOC","Hargreaves Ja, 1996, J WORLD AQUACULT SOC, V27, P21",False,1,"None"
"Hariyadi Sigid, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Hariyadi Sigid, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V25, P236",False,1,"None"
"Henriksen K, 1980, MICROBIAL ECOL","Henriksen K, 1980, MICROBIAL ECOL, V6, P329",False,1,"None"
"Henriksen K, 1981, MAR BIOL","Henriksen K, 1981, MAR BIOL, V61, P299",False,1,"None"
"Henriksen K, 1980, OPHELIA","Henriksen K, 1980, OPHELIA, P249",False,1,"None"
"Hesslien Rh, 1977, THESIS COLUMBIA U","Hesslien Rh, 1977, THESIS COLUMBIA U",False,1,"None"
"Hohener P, 1994, AQUAT SCI","Hohener P, 1994, AQUAT SCI, V56, P115",False,1,"None"
"Hollerman Wd, 1980, T AM FISH SOC","Hollerman Wd, 1980, T AM FISH SOC, V109, P446",False,1,"None"
"Hopkins Js, 1994, AQUACULT ENG","Hopkins Js, 1994, AQUACULT ENG, V13, P11",False,1,"None"
"Hopkins Js, 1993, J WORLD AQUACULT SOC","Hopkins Js, 1993, J WORLD AQUACULT SOC, V24, P304",False,1,"None"
"Hylleberg J, 1980, OPHELIA            S","Hylleberg J, 1980, OPHELIA            S, V1, P1",False,1,"None"
"Jana Bb, 1985, ARCH HYDROBIOL","Jana Bb, 1985, ARCH HYDROBIOL, V103, P291",False,1,"None"
"Jana Bb, 1985, AQUACULTURE","Jana Bb, 1985, AQUACULTURE, V44, P57",False,1,"None"
"Jellison R, 1993, LIMNOL OCEANOGR","Jellison R, 1993, LIMNOL OCEANOGR, V38, P1020",False,1,"None"
"Jenkins Mc, 1984, LIMNOL OCEANOGR","Jenkins Mc, 1984, LIMNOL OCEANOGR, V29, P609",False,1,"None"
